Suburb,Postcode,LGA,Area,Suburb Rating,No. of Reviews,"Suburb
Spotswood,3015,City of Hobsons Bay,Western,4.5,9,98,"Public transport
Parks and recreation
Neighbourly spirit
Safe and sound
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",30,30,58,58,48,29,27,32,15,68.09,6.74,47.87,72.06%,85.52%,1 in 148,Relatively safe area,"Theft
Property damage
Burglary/break and enter"
St Kilda West,3182,City of Port Phillip,Inner City,4.5,6,100,"Eating out
Resale or rental value
Nightlife
Neighbourly spirit
Parks and recreation","Parking
Cost of living","Professionals
Singles
Retirees
Families With Kids
Fashion Conscious",50,33,42,40.8,41.8,37,45,47,10,51.17,3.05,30.16,58.92%,75.21%,1 in 328,Considered safe area,"Theft
Property damage
Breaches of orders"
Ivanhoe,3079,City of Banyule,North,4.5,14,101,"Resale or rental value
Clean & green
Parks and recreation
Schools
Public transport",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",50,33,33.2,41,42.2,32,51,52,10,50.17,3.07,36.71,59%,79.85%,1 in 326,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Vermont,3133,City of Maroondah & City of Whitehorse,East,4.5,4,102,"Schools
Parks and recreation
Neighbourly spirit
Safe and sound
Internet access",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Students",70,52,12,19,19,64,61,63,10,28.65,2.55,18.56,56.85%,61.97%,1 in 393,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
North Melbourne,3051,City of Melbourne,Inner City,4.5,22,103,"Public transport
Internet access
Resale or rental value
Parks and recreation
Schools",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
Tourists",20,24,45,52,51,21,17,22,20,97.84,9.3,65.94,78.21%,90.33%,1 in 108,Moderately safe,"Theft
Burglary/break and enter
Property damage"
Ashburton,3147,City of Boroondara,East,4.5,11,104,"Resale or rental value
Parks and recreation
Public transport
Schools
Clean & green",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",62,48,20,21,21,55,57,59,14,66.27,6.79,42.38,72.19%,83.06%,1 in 147,Relatively safe area,"Theft
Property damage
Burglary/break and enter"
Mulgrave,3170,City of Monash,South East,4.5,26,105,"Parking
Internet access
Schools
Childcare
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",84,74,18,16,15,81,85,87,12,64.01,5.08,42.23,66.31%,83%,1 in 197,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Murrumbeena,3163,City of Glen Eira,South East,4.5,6,106,"Parks and recreation
Shopping options
Resale or rental value
Public transport
Internet access",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",58,44,24,24,24,53,55,56,10,37.31,2.6,25.21,57.03%,70.49%,1 in 384,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Carnegie,3163,City of Glen Eira,South East,4.4,33,108,"Parking
Public transport
Internet access
Resale or rental value
Eating out",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",47,32,27,26,26,41,43,45,10,47.57,3.69,34.95,61.37%,78.80%,1 in 271,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Essendon,3040,City of Moonee Valley,Western,4.4,64,109,"Public transport
Parks and recreation
Internet access
Schools
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",31,40,52,59,60,30,32,36,10,42.23,4.05,26.46,62.78%,71.87%,1 in 247,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Dingley Village,3172,City of Kingston,South East,4.4,22,110,"Parking
Parks and recreation
Schools
Internet access
Safe and sound",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",80,66,29,27,25,75,76,78,10,34.78,4,20.49,62.64%,64.73%,1 in 250,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Brunswick East,3057,City of Merri-bek,North,4.4,8,111,"Public transport
Parks and recreation
Internet access
Resale or rental value
Parking",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",35,25,40,47,48,20,30.8,31.8,12,60.25,4.44,46.31,64.19%,84.83%,1 in 225,Relatively safe area,"Theft
Burglary/break and enter
Property damage"
Frankston North,3200,City of Frankston,South East,4.4,21,112,"Schools
Neighbourly spirit
Parking
Public transport
Internet access",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",107,98,39,39,39,113,103,105,25,103.13,15.41,48.33,87%,85.63%,1 in 65,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Balwyn,3103,City of Boroondara,East,4.4,40,113,"Parks and recreation
Schools
Medical facilities
Resale or rental value
Internet access",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",61,54,28,32,33,40,62,64,10,34.53,2.67,25.49,57.30%,70.79%,1 in 375,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Frankston South,3199,City of Frankston,South East,4.4,29,114,"Schools
Clean & green
Parks and recreation
Safe and sound
Childcare",No ratings yet,"Families With Kids
Professionals
Beach Lovers
Singles
Retirees",107,93,45,46,44,124,103,105,10,23.56,3.19,13.72,59.45%,53.90%,1 in 313,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Endeavour Hills,3802,City of Casey,South East,4.4,32,115,"Parking
Schools
Safe and sound
Peace and quiet
Childcare",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",102,91,20,20,19.6,99,104,105,10,38.81,5.56,19.83,68.23%,63.74%,1 in 180,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Patterson Lakes,3197,City of Kingston,South East,4.4,20,116,"Internet access
Safe and sound
Eating out
Peace and quiet
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",97,83,32,33,34,92,93,95,11,51.33,3.98,28.74,62.53%,74.04%,1 in 251,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Cranbourne,3977,City of Casey,South East,4.4,40,117,"Parks and recreation
Public transport
Schools
Safe and sound
Neighbourly spirit",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",87,77,30,31,30,84,86,90,25,105.07,17.1,52.58,88.59%,86.93%,1 in 58,Moderately safe,"Theft
Assault and related offences
Breaches of orders"
Ashwood,3147,City of Monash,South East,4.4,15,118,"Internet access
Resale or rental value
Public transport
Schools
Peace and quiet",Nightlife,"Professionals
Families With Kids
Singles
Retirees
Students",62,48,20,21,21,55,57,59,13,61.64,6.43,40.26,71.13%,82.13%,1 in 156,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Rosanna,3084,City of Banyule,North,4.4,45,119,"Schools
Parks and recreation
Safe and sound
Medical facilities
Public transport",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",56,38,36,43,44,40,52,55,10,20.66,1.97,12.65,54.87%,51.91%,1 in 507,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Alphington,3078,City of Yarra & City of Darebin,Inner City,4.4,5,123,"Parks and recreation
Resale or rental value
Public transport
Safe and sound
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",45,36,31,38,39,31,40,41,10,52.26,3.33,39.64,60.02%,81.68%,1 in 300,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Box Hill North,3129,City of Whitehorse,East,4.4,19,124,"Safe and sound
Parks and recreation
Public transport
Schools
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",59,41,22,29.8,30,49,51,53,10,28.37,2.84,20.26,58.04%,64.39%,1 in 352,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Blackburn,3130,City of Whitehorse,East,4.4,40,125,"Parks and recreation
Public transport
Internet access
Schools
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",46,33,17,24.8,25,41,44,46,10,46.07,4.28,30.81,63.62%,75.76%,1 in 234,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Westmeadows,3049,City of Hume,North,4.4,21,126,"Parking
Resale or rental value
Internet access
Parks and recreation
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",74,59,62,70,73,71,61,75,11,47.37,5.38,23.53,67.55%,68.76%,1 in 186,Relatively safe area,"Theft
Breaches of orders
Assault and related offences"
Upper Ferntree Gully,3156,City of Knox,East,4.4,3,127,"Childcare
Clean & green
Gym and fitness
Medical facilities
Parking",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",78,61,12,16,17,73,72,74,10,41.56,4.68,24,64.99%,69.28%,1 in 214,Considered safe area,"Property damage
Theft
Breaches of orders"
Cairnlea,3023,City of Brimbank,Western,4.4,16,128,"Parks and recreation
Parking
Clean & green
Peace and quiet
Lack of traffic",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",54,49,68,67,60,54,51,55,10,40.55,3.39,23.11,60.29%,68.07%,1 in 295,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Notting Hill,3168,City of Monash,South East,4.4,5,129,"Internet access
Neighbourly spirit
Cost of living
Parks and recreation
Safe and sound",Nightlife,"Families With Kids
Students
Professionals
Singles
Retirees",79,66,15,14,13,77,74,76,10,54.92,4.15,33.16,63.17%,77.54%,1 in 241,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Ringwood East,3135,City of Maroondah,East,4.4,13,131,"Safe and sound
Peace and quiet
Clean & green
Parks and recreation
Shopping options",Nightlife,"Families With Kids
Singles
Retirees
Professionals
Students",76,63,18,25,24,84,74,76,10,39.2,5.85,17.47,69.30%,60.26%,1 in 171,Considered safe area,"Theft
Breaches of orders
Assault and related offences"
Lynbrook,3975,City of Casey,South East,4.4,22,132,"Parks and recreation
Parking
Childcare
Medical facilities
Peace and quiet",Nightlife,"Families With Kids
Retirees
Professionals
Singles
LGBTQ+",92,76,22,23,23,83,88,90,10,43.42,5.7,25.55,68.71%,70.86%,1 in 175,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Blackburn South,3130,City of Whitehorse,East,4.4,4,133,"Gym and fitness
Peace and quiet
Clean & green
Safe and sound
Resale or rental value",Nightlife,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",66,56,15,22,22,70,62,64,10,30.35,1.65,21.48,53.91%,65.95%,1 in 608,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Templestowe,3106,City of Manningham,East,4.4,27,134,"Parks and recreation
Clean & green
Internet access
Safe and sound
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",73,62,28,36,38,36,70,74,10,23.16,2,14.62,54.96%,55.53%,1 in 499,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Knoxfield,3180,City of Knox,East,4.4,14,135,"Parks and recreation
Safe and sound
Neighbourly spirit
Clean & green
Parking",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",96,82,7,7,7,87,93,95,10,43.43,4.05,27.47,62.79%,72.82%,1 in 247,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Fitzroy,3065,City of Yarra,Inner City,4.4,19,136,"Public transport
Eating out
Nightlife
Resale or rental value
Shopping options",No ratings yet,"Singles
Professionals
Families With Kids
Retirees
LGBTQ+",24,20,35,42,42,7,18,17,48,225.19,26.75,138.24,93.49%,96.30%,1 in 37,Relatively unsafe area,"Theft
Assault and related offences
Property damage"
Box Hill South,3128,City of Whitehorse,East,4.4,8,137,"Childcare
Clean & green
Internet access
Lack of traffic
Parking",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",61,40,18,25,26,51,49,50,10,44.64,3.3,31.92,59.93%,76.60%,1 in 303,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Vermont South,3133,City of Whitehorse,East,4.4,9,138,"Parking
Internet access
Clean & green
Pest-free
Safe and sound",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",78,56,8,15,15,74,69,70,10,29.53,1.92,19.66,54.70%,63.54%,1 in 520,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Ivanhoe East,3079,City of Banyule,North,4.4,3,139,"Clean & green
Parking
Parks and recreation
Resale or rental value
Safe and sound",No ratings yet,"Families With Kids
Professionals
Singles
Retirees",54,52,33,39,38.8,35,49,50,10,23.66,0.8,16.75,52.38%,58.96%,1 in 1254,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Prahran,3181,City of Stonnington,South East,4.4,17,140,"Public transport
Internet access
Eating out
Schools
Shopping options",Parking,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",49,36,32,32,30,34,40,42,30,146.03,15.24,81.54,86.78%,92.65%,1 in 66,Relatively unsafe area,"Theft
Assault and related offences
Deception"
Port Melbourne,3207,City of Melbourne & City of Port Phillip,Inner City,4.4,28,142,"Public transport
Parks and recreation
Safe and sound
Neighbourly spirit
Internet access",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Beach Lovers",47,33,51,50,46,37,39,46,19,102.59,8.73,69.93,77.05%,91.17%,1 in 115,Moderately safe,"Theft
Burglary/break and enter
Assault and related offences"
Forest Hill,3131,City of Whitehorse,East,4.4,14,143,"Clean & green
Internet access
Gym and fitness
Parks and recreation
Shopping options",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",58,46,12,20,20,56,59,60,11,51.76,5.1,31.82,66.39%,76.53%,1 in 196,Relatively safe area,"Theft
Burglary/break and enter
Assault and related offences"
Northcote,3070,City of Darebin,North,4.4,17,144,"Internet access
Public transport
Parks and recreation
Medical facilities
Eating out",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
Fashion Conscious",49,36,37,45,44,28,44.8,43,10,47.12,3.17,34.18,59.37%,78.22%,1 in 316,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Armadale,3143,City of Stonnington,South East,4.4,12,145,"Public transport
Neighbourly spirit
Safe and sound
Shopping options
Gym and fitness",Parking,"Professionals
Families With Kids
Singles
Retirees
Tourists",42,25,29,28,27,29,36,38,10,53.48,2.46,40.35,56.50%,82.15%,1 in 407,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Waterways,3195,City of Kingston,South East,4.4,12,146,"Clean & green
Gym and fitness
Lack of traffic
Neighbourly spirit
Parking",No ratings yet,"Professionals
Families With Kids
Retirees
Beach Lovers
Singles",101,89,35,32.8,32.2,89,97,99,10,26.84,2.06,16.93,55.16%,59.24%,1 in 484,Considered safe area,"Burglary/break and enter
Theft
Breaches of orders"
Greenvale,3059,City of Hume,North,4.4,18,147,"Safe and sound
Internet access
Clean & green
Lack of traffic
Parking","Nightlife
Eating out","Families With Kids
Professionals
Retirees
Singles
Country Lovers",76,68,65,73,75,96,70,78,10,24.82,2.21,14.52,55.63%,55.40%,1 in 453,Considered safe area,"Theft
Breaches of orders
Burglary/break and enter"
Viewbank,3084,City of Banyule,North,4.4,34,149,"Internet access
Parks and recreation
Schools
Clean & green
Childcare",No ratings yet,"Families With Kids
Professionals
Fashion Conscious
Country Lovers
Retirees",69,58,38,#N/A,46,53,63,65,10,14.94,1.56,7.54,53.75%,42.06%,1 in 639,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Park Orchards,3114,City of Manningham & City of Maroondah,East,4.3,9,153,"Parks and recreation
Peace and quiet
Clean & green
Safe and sound
Lack of traffic","Nightlife
Eating out
Shopping options","Families With Kids
Professionals
Retirees
Country Lovers
Singles",79,64,24,32,31,65,78,80,10,16.69,2.09,9.65,55.21%,46.34%,1 in 479,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Wheelers Hill,3150,City of Monash,South East,4.3,15,154,"Clean & green
Parks and recreation
Schools
Resale or rental value
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Fashion Conscious",79,67,9.8,7,7,74,81,83,10,30.6,2.32,20.63,56.04%,64.95%,1 in 430,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Kew,3101,City of Boroondara,East,4.3,31,155,"Parks and recreation
Internet access
Schools
Public transport
Resale or rental value",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",54,41,32,36,35,31,51,53,10,39.8,2.98,25.67,58.64%,71.13%,1 in 336,Considered safe area,"Theft
Burglary/break and enter
Breaches of orders"
Mount Evelyn,3796,Shire of Yarra Ranges,East,4.3,7,156,"Peace and quiet
Clean & green
Safe and sound
Neighbourly spirit
Parks and recreation",Nightlife,"Families With Kids
Retirees
Professionals
Country Lovers
Singles",111,94,31,37,37,117,107,109,10,19.19,3.47,7.25,60.59%,41.51%,1 in 288,Considered safe area,"Breaches of orders
Assault and related offences
Theft"
Bulleen,3105,City of Manningham,East,4.3,22,157,"Internet access
Medical facilities
Clean & green
Safe and sound
Parking",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Tourists",68,57,29,36,37,40,68.2,67,10,30.13,3.21,17.92,59.58%,61.03%,1 in 312,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Eaglemont,3084,City of Banyule,North,4.3,8,158,"Peace and quiet
Clean & green
Parks and recreation
Medical facilities
Safe and sound",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
LGBTQ+",58,40,33,42,41,41,61,62,10,22.47,3.03,16.41,58.85%,58.44%,1 in 330,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Chadstone,3148,City of Monash,South East,4.3,13,159,"Internet access
Resale or rental value
Safe and sound
Parks and recreation
Pest-free",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Students",67,53,19,18,18,58,65,67,12,61.45,6.07,37.69,70.02%,80.48%,1 in 165,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Brighton,3186,City of Bayside,South East,4.3,23,160,"Schools
Neighbourly spirit
Safe and sound
Clean & green
Public transport",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",55,40,38.8,38,37,43,50,51,10,43.27,2.62,32.34,57.11%,77.01%,1 in 381,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Altona Meadows,3028,City of Hobsons Bay,Western,4.3,24,162,"Parks and recreation
Parking
Public transport
Schools
Safe and sound",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",50,51,61,61,56,58,47,52,10,25.7,4.17,13.58,63.28%,53.60%,1 in 240,Considered safe area,"Theft
Assault and related offences
Property damage"
Doncaster,3108,City of Manningham,East,4.3,25,163,"Shopping options
Parks and recreation
Safe and sound
Resale or rental value
Clean & green",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",60,49,25,32,31.8,28,57,58,11,54.52,4.24,36.41,63.45%,79.66%,1 in 236,Relatively safe area,"Theft
Burglary/break and enter
Deception"
Black Rock,3193,City of Bayside,South East,4.3,7,164,"Resale or rental value
Clean & green
Parks and recreation
Safe and sound
Internet access",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Beach Lovers",80,70,44,42,41,66,77,78,10,33.65,4.07,21.91,62.86%,66.54%,1 in 246,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Parkdale,3195,City of Kingston,South East,4.3,16,165,"Parks and recreation
Resale or rental value
Internet access
Safe and sound
Schools",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
LGBTQ+",58,45,37,36,35,55,54,56,10,34.21,3.09,20.88,59.03%,65.30%,1 in 324,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Clifton Hill,3068,City of Yarra,Inner City,4.3,12,166,"Parks and recreation
Public transport
Resale or rental value
Internet access
Neighbourly spirit",No ratings yet,"Singles
Professionals
Families With Kids
Retirees
LGBTQ+",30,26,33,41,41,19,26,27,10,57.98,3.18,42.54,59.43%,83.16%,1 in 315,Considered safe area,"Theft
Property damage
Burglary/break and enter"
Heidelberg Heights,3081,City of Banyule,North,4.3,23,167,"Medical facilities
Internet access
Parking
Public transport
Resale or rental value",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",74,51,37,44,44,39,70,71,16,72.8,9.17,38.47,77.94%,81.16%,1 in 109,Moderately safe,"Theft
Breaches of orders
Assault and related offences"
Aspendale Gardens,3195,City of Kingston,South East,4.3,9,168,"Safe and sound
Clean & green
Parks and recreation
Schools
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Retirees
Beach Lovers",93,81,37.6,34,34,91,89,91,10,18.52,2.65,11.98,57.20%,50.71%,1 in 378,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Jacana,3047,City of Hume,North,4.3,11,170,"Internet access
Parks and recreation
Public transport
Neighbourly spirit
Safe and sound",No ratings yet,"Families With Kids
Professionals
Retirees
Singles",54,49,61,68,69,54,51,56,18,66.76,11.89,33.84,82.89%,78.02%,1 in 84,Moderately safe,"Theft
Assault and related offences
Property damage"
Seabrook,3028,City of Hobsons Bay,Western,4.3,16,171,"Neighbourly spirit
Clean & green
Safe and sound
Schools
Pest-free",Nightlife,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",62,62,62,62,57.4,63,59,64,10,26.86,4.85,13.73,65.59%,53.92%,1 in 206,Considered safe area,"Theft
Assault and related offences
Property damage"
Oakleigh,3166,City of Monash,South East,4.3,16,172,"Internet access
Public transport
Shopping options
Peace and quiet
Resale or rental value",Nightlife,"Professionals
Families With Kids
Retirees
Singles
Students",53,39,23,22,22,49,50,51,26,143.21,13.62,89.55,85.01%,93.43%,1 in 73,Relatively unsafe area,"Theft
Breaches of orders
Assault and related offences"
Malvern,3144,City of Stonnington,South East,4.3,8,173,"Parking
Public transport
Schools
Neighbourly spirit
Clean & green",No ratings yet,"Families With Kids
Professionals
Retirees
Singles",55,45,27,26,24,48,47,51.2,10,49.85,3.22,34.55,59.63%,78.57%,1 in 310,Considered safe area,"Theft
Burglary/break and enter
Deception"
Ringwood,3134,City of Maroondah,East,4.3,19,175,"Shopping options
Schools
Internet access
Resale or rental value
Public transport",Nightlife,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",57,44,16,22,22,61,56,57,23,134.4,12.64,56.41,83.79%,88.05%,1 in 79,Moderately safe,"Breaches of orders
Theft
Assault and related offences"
Canterbury,3126,City of Boroondara,East,4.3,8,176,"Resale or rental value
Schools
Parks and recreation
Clean & green
Public transport",Nightlife,"Families With Kids
Retirees
Professionals
Singles
Students",43,34,27.2,30,30,42,43,48,10,22.31,1.54,16.67,53.69%,58.75%,1 in 650,Considered safe area,"Theft
Burglary/break and enter
Property damage"
Preston,3072,City of Darebin,North,4.3,28,177,"Public transport
Internet access
Medical facilities
Parks and recreation
Pest-free",No ratings yet,"Professionals
Families With Kids
Singles
Retirees
LGBTQ+",56,48,42,49,50,41,49,51,20,107.46,9.32,65.85,78.25%,90.31%,1 in 107,Moderately safe,"Theft
Breaches of orders
Deception"
Deer Park,3023,City of Brimbank,Western,4.3,15,178,"Neighbourly spirit
Childcare
Gym and fitness
Parking
Schools",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Country Lovers",53,47,67,65,59,51,51,49,12,54.28,6.83,31.36,72.33%,76.26%,1 in 146,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Carrum Downs,3201,City of Frankston,South East,4.3,52,179,"Parks and recreation
Schools
Childcare
Neighbourly spirit
Internet access",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Beach Lovers",108,91,33,33,34.2,105,104,106,14,63.16,7.92,32.76,75.29%,77.24%,1 in 126,Relatively safe area,"Theft
Assault and related offences
Breaches of orders"
Abbotsford,3067,City of Yarra,Inner City,4.3,17,180,"Public transport
Eating out
Neighbourly spirit
Resale or rental value
Internet access",No ratings yet,"Professionals
Singles
Families With Kids
Retirees
LGBTQ+",36,31,35,38,39,20,30,29,23,113.01,10.01,72.07,79.66%,91.56%,1 in 100,Moderately safe,"Theft
Deception
Property damage"
Oak Park,3046,City of Merri-bek,North,4.3,19,181,"Parking
Parks and recreation
Internet access
Public transport
Safe and sound","Shopping options
Eating out
Nightlife","Families With Kids
Professionals
Singles
Retirees
Fashion Conscious",41,36,58,65,65,39,38,43,10,24.72,3.57,13.7,61.03%,53.89%,1 in 280,Considered safe area,"Theft
Assault and related offences
Burglary/break and enter"
Warranwood,3134,City of Maroondah,East,4.3,9,183,"Parks and recreation
Safe and sound
Schools
Clean & green
Neighbourly spirit",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Country Lovers",81,72,24,30,30.2,79,81,82,10,11.41,1.66,5.81,53.95%,39.17%,1 in 603,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Croydon Hills,3136,City of Maroondah,East,4.3,4,184,"Safe and sound
Internet access
Peace and quiet
Lack of traffic
Parks and recreation",No ratings yet,"Families With Kids
Professionals
Retirees
Fashion Conscious
Students",92,78,24.2,32,30.6,94,87.4,90,10,9.71,1.65,4.55,53.92%,37.42%,1 in 605,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Templestowe Lower,3107,City of Manningham,East,4.3,17,186,"Parks and recreation
Clean & green
Safe and sound
Internet access
Schools",No ratings yet,"Families With Kids
Professionals
Retirees
Singles
Students",64,52,29,36,37.6,28,61,62,10,22.2,2.62,13.55,57.12%,53.56%,1 in 381,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Wollert,3750,City of Whittlesea,North,4.3,15,189,"Clean & green
Eating out
Neighbourly spirit
Parks and recreation
Public transport",No ratings yet,"Families With Kids
Professionals
Singles",189,184,70.4,78,78,183,186,191,10,25.89,3.28,14.3,59.82%,55.02%,1 in 305,Considered safe area,"Theft
Burglary/break and enter
Assault and related offences"
Croydon North,3136,City of Maroondah,East,4.3,9,190,"Parks and recreation
Safe and sound
Schools
Clean & green
Neighbourly spirit","Nightlife
Eating out","Families With Kids
Professionals
Retirees
Singles",94,72,25,31,30,86,90,92,10,19.03,3.21,8.28,59.59%,43.66%,1 in 311,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Glen Huntly,3163,City of Glen Eira,South East,4.3,9,191,"Internet access
Parking
Parks and recreation
Childcare
Resale or rental value",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Tourists",49,33,28.4,28,29,35,44,45,12,55.05,5.5,34.66,68%,78.62%,1 in 182,Relatively safe area,"Theft
Burglary/break and enter
Breaches of orders"
Cranbourne North,3977,City of Casey,South East,4.3,15,193,"Parking
Parks and recreation
Cost of living
Schools
Gym and fitness",Nightlife,"Families With Kids
Professionals
Singles
Retirees
Students",99,82,25,26,25,86,96,97,10,37.11,5.47,19.33,67.87%,63.03%,1 in 183,Considered safe area,"Theft
Assault and related offences
Breaches of orders"
Brunswick,3056,City of Merri-bek,North,4.2,19,194,"Public transport
Neighbourly spirit
Eating out
Internet access
Resale or rental value",No ratings yet,"Professionals
Singles
Families With Kids
Students
LGBTQ+",25,31,45,52,53,29,21,23,17,91.38,6.23,65.43,70.56%,90.25%,1 in 161,Moderately safe,"Theft
Burglary/break and enter
Property damage"
Carlton North,3054,City of Melbourne & City of Yarra,Inner City,4.2,2,195,"Childcare
Eating out
Internet access
Medical facilities
Nightlife",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
Hipsters",28,24,37,44,45,19,24,23,11,65.08,3.56,53.91,60.97%,87.43%,1 in 281,Relatively safe area,"Theft
Property damage
Burglary/break and enter"
Mitcham,3132,City of Whitehorse,East,4.2,18,196,"Clean & green
Parks and recreation
Internet access
Neighbourly spirit
Public transport",No ratings yet,"Families With Kids
Professionals
Singles
Retirees
LGBTQ+",63,48,15,23,22,61,59,61,10,37.99,3.16,27.87,59.31%,73.32%,1 in 317,Considered safe area,"Theft
Burglary/break and enter
Property damage"
